1000000|999996|TRIBENZOR (Oral Pill)|5-12.5-40 mg
1000001||amLODIPine/Hydrochlorothiazide/Olmesartan (Oral Pill)|5-25-40 mg
1000005|1000001|TRIBENZOR (Oral Pill)|5-25-40 mg
1000009||Dimethicone/Miconazole/Zinc Oxide (Topical)|10-2-10%
1000015||Western wheatgrass pollen extract (Injectable)|10,000 unt/ml
1000048||Doxepin (Oral Pill)|10 mg
1000054||Doxepin (Oral Liquid)|10 mg/ml
1000058||Doxepin (Oral Pill)|100 mg
1000064||Doxepin (Oral Pill)|150 mg
1000070||Doxepin (Oral Pill)|25 mg
1000076||Doxepin (Oral Pill)|50 mg
1000085||Alcaftadine (Ophthalmic)|0.25%
1000089|1000085|LASTACAFT (Ophthalmic)|0.25%
1000091||Doxepin (Topical)|5%
1000093|1000091|PRUDOXIN (Topical)|5%
1000095|1000091|ZONALON (Topical)|5%
1000097||Doxepin (Oral Pill)|75 mg
1000107||Botulinum Toxin Type A (Injectable)|200 unt
1000114||medroxyPROGESTERone (Oral Pill)|10 mg
1000124|1000114|PROVERA (Oral Pill)|10 mg
1000126||medroxyPROGESTERone (Injectable)|150 mg/ml
1000128|1000126|DEPO-PROVERA (Injectable)|150 mg/ml
1000131||medroxyPROGESTERone (Injectable)|400 mg/ml
1000133|1000131|DEPO-PROVERA (Injectable)|400 mg/ml
1000135||medroxyPROGESTERone (Oral Pill)|2.5 mg
1000139|1000135|PROVERA (Oral Pill)|2.5 mg
1000141||medroxyPROGESTERone (Oral Pill)|5 mg
1000145|1000141|PROVERA (Oral Pill)|5 mg
1000153||medroxyPROGESTERone (Injectable)|150 mg/ml
1000154|1000153|DEPO-PROVERA (Injectable)|150 mg/ml
1000156||medroxyPROGESTERone (Injectable)|160 mg/ml
1000158|1000156|DEPO-SUBQ PROVERA (Injectable)|160 mg/ml
1000351||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|0.3-1.5 mg
1000352||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|0.45-1.5 mg
1000355||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|0.625-2.5 mg
1000356||Estrogens, Conjugated (USP)/MedroxyPROGESTERone (Oral Pill)|0.625-5 mg
1000364||medroxyPROGESTERone (Oral Pill)|100 mg
1000376||medroxyPROGESTERone (Oral Pill)|200 mg
1000380||medroxyPROGESTERone (Oral Pill)|250 mg
1000384||medroxyPROGESTERone (Oral Pill)|400 mg
1000386||medroxyPROGESTERone (Oral Pill)|500 mg
